player,display_name,photo,flag,club_logo,club,theme_color
HEEREN Renaud,HEEREN Renaud,assets/players/heeren-renaud.png,assets/flags/be.png,assets/clubs/default.png,,#F59E0B
HAESELEER Christian,HAESELEER Christian,assets/players/haeseleer-christian.png,assets/flags/be.png,assets/clubs/acl.png,ACL,#F59E0B
BALAŸ Éric,BALAŸ Éric,assets/players/balay-eric.png,assets/flags/fr.png,assets/clubs/lyon.png,Lyon,#1D4ED8
BOUCHERAND Marie-Hélène,BOUCHERAND Marie-Hélène,assets/players/boucherand-marie-helene.png,assets/flags/fr.png,assets/clubs/vinay.png,Vinay,#1D4ED8
COMBE Christian,COMBE Christian,assets/players/combe-christian.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
DUBOIS Jean-Marc,DUBOIS Jean-Marc,assets/players/dubois-jean-marc.png,assets/flags/fr.png,assets/clubs/lyon.png,Lyon,#1D4ED8
FECHE Chantal,FECHE Chantal,assets/players/feche-chantal.png,assets/flags/fr.png,assets/clubs/saint-priest-en-jarez.png,Saint-Priest-en-Jarez,#1D4ED8
RAVEL Paul,RAVEL Paul,assets/players/ravel-paul.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ABBA Ymeddine,ABBA Ymeddine,assets/players/abba-ymeddine.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ADAMS Samuel,ADAMS Samuel,assets/players/adams-samuel.png,assets/flags/fr.png,assets/clubs/peronnas.png,Péronnas,#1D4ED8
AGUSTI Françoise,AGUSTI Françoise,assets/players/agusti-francoise.png,assets/flags/fr.png,assets/clubs/default.png,,#EA580C
ALARY Tristan,ALARY Tristan,assets/players/alary-tristan.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ALBOUY Éric,ALBOUY Éric,assets/players/albouy-eric.png,assets/flags/fr.png,assets/clubs/toulouse.png,Toulouse,#EA580C
ALLARD Jeanine,ALLARD Jeanine,assets/players/allard-jeanine.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ALLOUCH Julie,ALLOUCH Julie,assets/players/allouch-julie.png,assets/flags/fr.png,assets/clubs/default.png,,#DB2777
AMBROISE Annick,AMBROISE Annick,assets/players/ambroise-annick.png,assets/flags/fr.png,assets/clubs/luce.png,Lucé,#111827
