seed,player,elo,Top1,Top2,Top4,Top8,elim_R16,elim_QF,elim_SF,finalist_lost,champion
1,SUYS Olivier,2121.0,0.3512991811449944,0.5250016103418598,0.6676262737142222,0.8399506946347535,0.16004930536524653,0.17232442092053124,0.14262466337236246,0.17370242919686535,0.3512991811449944
2,DUMAS Emmanuel,2095.0,0.29193959267779757,0.4821487246896756,0.6305588524723921,0.8187932901343153,0.18120670986568466,0.18823443766192327,0.14841012778271645,0.19020913201187806,0.29193959267779757
3,COSTE Denis,1923.0,0.05125096099010799,0.1324335990992622,0.34768823687675215,0.6172250309049463,0.3827749690950537,0.26953679402819414,0.21525463777748996,0.08118263810915421,0.05125096099010799
4,BERNARD Pierre,1920.0,0.04745667803991962,0.11517048867507688,0.3317164727639035,0.6076610641268197,0.39233893587318025,0.27594459136291627,0.21654598408882658,0.06771381063515727,0.04745667803991962
5,TRUCCHI Sébastien,1916.0,0.044937555078921644,0.1104228437231301,0.3223672576415202,0.6007782458900109,0.39922175410998906,0.27841098824849075,0.21194441391839008,0.06548528864420847,0.044937555078921644
6,OLIVIER Philippe,1902.0,0.03837350332909687,0.10614292153935327,0.2987437417975546,0.5798997603578815,0.4201002396421185,0.2811560185603269,0.1926008202582013,0.0677694182102564,0.03837350332909687
7,CAMBLONCQ Thierry,1901.0,0.031989606588230614,0.08877860656667305,0.17146612528296148,0.5530468951694625,0.4469531048305375,0.381580769886501,0.08268751871628843,0.05678899997844244,0.031989606588230614
8,BROSSEAU Dany,1891.0,0.02600621827843429,0.06924876015196722,0.13916006875634726,0.515824985264735,0.48417501473526503,0.37666491650838774,0.06991130860438004,0.043242541873532936,0.02600621827843429
9,DUCHAINE Laurent,1880.0,0.021848431059998976,0.06035366385039919,0.12522634916138328,0.4841750147352649,0.5158249852647351,0.3589486655738816,0.06487268531098409,0.03850523279040022,0.021848431059998976
10,RODRIGUES Marvin,1864.0,0.01780320295070498,0.056118946910938175,0.1206590936074774,0.4469531048305375,0.5530468951694625,0.3262940112230601,0.06454014669653922,0.0383157439602332,0.01780320295070498
11,ROCCHIA Philippe,1846.0,0.015842316239424496,0.05330416019059866,0.18316671418028235,0.42010023964211857,0.5798997603578815,0.23693352546183621,0.1298625539896837,0.03746184395117416,0.015842316239424496
12,BARBET Catherine,1845.0,0.01477995775515456,0.04614369747142003,0.17405176116829202,0.399221754109989,0.600778245890011,0.22516999294169698,0.127908063696872,0.03136373971626547,0.01477995775515456
13,KERBIRIOU Jean-Luc,1844.0,0.014485930704360885,0.04538974009541108,0.171864508426284,0.39233893587318014,0.6076610641268199,0.22047442744689613,0.12647476833087293,0.030903809391050197,0.014485930704360885
14,BARCET Vincent,1840.0,0.014092682405808634,0.04848239118109528,0.170401307145411,0.38277496909505365,0.6172250309049463,0.21237366194964266,0.12191891596431571,0.034389708775286645,0.014092682405808634
15,CALAIS Jean-Manuel,1833.0,0.009228237222606272,0.03259064982240373,0.07731592863716902,0.1812067098656847,0.8187932901343153,0.1038907812285157,0.04472527881476529,0.023362412599797454,0.009228237222606272
16,ROUX Pierre-Damien,1833.0,0.008665945534437895,0.028269195690735383,0.06798730836804713,0.16004930536524656,0.8399506946347535,0.09206199699719943,0.03971811267731175,0.019603250156297488,0.008665945534437895
