rank,player,elo_effective,expected_points,Top1,Top2,Top3,Top4,Top5,Top8,Top<=3,Top<=5,Top<=8,display_name,photo,flag,club_logo,club,theme_color
1,SUYS Olivier,2121.0,31.65104000898861,0.384,0.226,0.097,0.091,0.064,0.021,0.707,0.8619999999999999,0.943,SUYS Olivier,assets/players/suys-olivier.png,assets/flags/fr.png,assets/clubs/viroflay.png,Viroflay,#111827
2,DUMAS Emmanuel,2095.0,30.617697344728068,0.246,0.214,0.15,0.117,0.066,0.021,0.61,0.7929999999999999,0.909,DUMAS Emmanuel,assets/players/dumas-emmanuel.png,assets/flags/fr.png,assets/clubs/lyon.png,Lyon,#1D4ED8
3,BLAYE Arnaud,2038.0,28.245760765071992,0.105,0.137,0.123,0.088,0.1,0.045,0.365,0.5529999999999999,0.7699999999999999,BLAYE Arnaud,assets/players/blaye-arnaud.png,assets/flags/fr.png,assets/clubs/default.png,,#111827
4,LANDEMAINE Thierry,2024.0,27.64432099708028,0.075,0.1,0.13,0.124,0.087,0.057,0.305,0.516,0.736,LANDEMAINE Thierry,assets/players/landemaine-thierry.png,assets/flags/fr.png,assets/clubs/fontenay-sous-bois.png,Fontenay-sous-Bois,#111827
5,PINEL Florian,2011.0,27.080386870339723,0.06,0.08,0.108,0.101,0.098,0.081,0.248,0.4469999999999999,0.6989999999999998,PINEL Florian,assets/players/pinel-florian.png,assets/flags/fr.png,assets/clubs/toulouse.png,Toulouse,#EA580C
6,MERRHEIM Philippe,1996.0,26.4239484725559,0.044,0.072,0.084,0.086,0.102,0.077,0.2,0.388,0.613,MERRHEIM Philippe,assets/players/merrheim-philippe.png,assets/flags/fr.png,assets/clubs/villeneuve-dascq.png,Villeneuve d'Ascq,#DC2626
7,DURAND Jean-Marc,1951.0,24.42690649680484,0.021,0.031,0.055,0.065,0.065,0.072,0.107,0.237,0.453,DURAND Jean-Marc,assets/players/durand-jean-marc.png,assets/flags/fr.png,assets/clubs/laxou.png,Laxou,#7C3AED
8,LECLÈRE Christophe,1946.0,24.203233422761887,0.011,0.032,0.041,0.064,0.06,0.056,0.0839999999999999,0.208,0.401,LECLÈRE Christophe,assets/players/leclere-christophe.png,assets/flags/fr.png,assets/clubs/epernay.png,Épernay,#7C3AED
9,BERNARD Pierre,1920.0,23.037457584234275,0.011,0.013,0.033,0.039,0.04,0.057,0.057,0.136,0.308,BERNARD Pierre,assets/players/bernard-pierre.png,assets/flags/fr.png,assets/clubs/la-roche-sur-yon.png,La-Roche-sur-Yon,#059669
10,COSTE Denis,1923.0,23.172101163862536,0.008,0.017,0.026,0.044,0.048,0.058,0.051,0.143,0.302,COSTE Denis,assets/players/coste-denis.png,assets/flags/fr.png,assets/clubs/default.png,,#DB2777
