rank,player,elo_effective,win_probability,Top1
1,SUYS Olivier,2121.0,0.06489795609096649,0.06489795609096649
2,DUMAS Emmanuel,2095.0,0.06112670967767754,0.06112670967767754
3,BLAYE Arnaud,2038.0,0.05360817458113172,0.05360817458113172
4,LANDEMAINE Thierry,2024.0,0.05190760836149703,0.05190760836149703
5,PINEL Florian,2011.0,0.0503768512907082,0.0503768512907082
6,MERRHEIM Philippe,1996.0,0.04866660147012775,0.04866660147012775
7,DURAND Jean-Marc,1951.0,0.04387640325083882,0.04387640325083882
8,LECLÈRE Christophe,1946.0,0.04337415421603248,0.04337415421603248
9,COSTE Denis,1923.0,0.04113684868854566,0.04113684868854566
10,BERNARD Pierre,1920.0,0.04085366461405832,0.04085366461405832
11,TRUCCHI Sébastien,1916.0,0.04047911596554425,0.04047911596554425
12,OLIVIER Philippe,1902.0,0.03919503163046768,0.03919503163046768
13,CAMBLONCQ Thierry,1901.0,0.039104885559244615,0.039104885559244615
14,BROSSEAU Dany,1891.0,0.038214749689711225,0.038214749689711225
15,DUCHAINE Laurent,1880.0,0.03725898495543216,0.03725898495543216
16,RODRIGUES Marvin,1864.0,0.03591129109081441,0.03591129109081441
17,ROCCHIA Philippe,1846.0,0.034453315351079844,0.034453315351079844
18,BARBET Catherine,1845.0,0.0343740749246709,0.0343740749246709
19,KERBIRIOU Jean-Luc,1844.0,0.0342950167461854,0.0342950167461854
20,BARCET Vincent,1840.0,0.03398059814275291,0.03398059814275291
21,CALAIS Jean-Manuel,1833.0,0.03343728595287501,0.03343728595287501
22,ROUX Pierre-Damien,1833.0,0.03343728595287501,0.03343728595287501
23,BONTHOUX Julien,1829.0,0.033130731072622766,0.033130731072622766
24,BAKAYOKO Ahmed,1826.0,0.03290266072413977,0.03290266072413977
